title,amount,date,category
Transaction4 on Fitness,22.0,"Fri, Mar 03, 2023",Fitness
Transaction5 on Food,134.0,"Fri, Mar 03, 2023",Food
Transaction6 on Transportation,127.0,"Fri, Mar 03, 2023",Transportation
Transaction7 on Shopping,134.0,"Fri, Mar 03, 2023",Shopping
Transaction8 on Shopping,97.0,"Fri, Mar 03, 2023",Shopping
Transaction9 on Fitness,91.0,"Fri, Mar 03, 2023",Fitness
Transaction10 on Shopping,68.0,"Fri, Mar 03, 2023",Shopping
Transaction11 on Shopping,24.0,"Fri, Mar 03, 2023",Shopping
Transaction12 on Entertainment,153.0,"Fri, Mar 03, 2023",Entertainment
Transaction13 on Entertainment,197.0,"Fri, Mar 03, 2023",Entertainment
Transaction14 on Entertainment,146.0,"Fri, Mar 03, 2023",Entertainment
Transaction15 on Shopping,65.0,"Fri, Mar 03, 2023",Shopping
Transaction16 on Transportation,142.0,"Fri, Mar 03, 2023",Transportation
Transaction17 on Entertainment,38.0,"Fri, Mar 03, 2023",Entertainment
Transaction18 on Food,123.0,"Fri, Mar 03, 2023",Food
Transaction19 on Transportation,75.0,"Fri, Mar 03, 2023",Transportation
Transaction20 on Shopping,40.0,"Fri, Mar 03, 2023",Shopping
Transaction1 on Transportation,19.0,"Sat, Mar 04, 2023",Transportation
Transaction2 on Shopping,79.0,"Sat, Mar 04, 2023",Shopping
Transaction3 on Entertainment,146.0,"Sat, Mar 04, 2023",Entertainment
Transaction4 on Food,192.0,"Sat, Mar 04, 2023",Food
Transaction5 on Fitness,85.0,"Sat, Mar 04, 2023",Fitness
Transaction6 on Shopping,155.0,"Sat, Mar 04, 2023",Shopping
Transaction7 on Food,23.0,"Sat, Mar 04, 2023",Food
Transaction8 on Transportation,162.0,"Sat, Mar 04, 2023",Transportation
Transaction9 on Shopping,182.0,"Sat, Mar 04, 2023",Shopping
Transaction10 on Food,89.0,"Sat, Mar 04, 2023",Food
Transaction11 on Transportation,44.0,"Sat, Mar 04, 2023",Transportation
Transaction12 on Food,145.0,"Sat, Mar 04, 2023",Food
Transaction13 on Fitness,27.0,"Sat, Mar 04, 2023",Fitness
Transaction14 on Food,71.0,"Sat, Mar 04, 2023",Food
Transaction15 on Food,48.0,"Sat, Mar 04, 2023",Food
Transaction16 on Fitness,143.0,"Sat, Mar 04, 2023",Fitness
Transaction17 on Fitness,81.0,"Sat, Mar 04, 2023",Fitness
Transaction18 on Transportation,147.0,"Sat, Mar 04, 2023",Transportation
Transaction19 on Shopping,20.0,"Sat, Mar 04, 2023",Shopping
Transaction20 on Food,154.0,"Sat, Mar 04, 2023",Food
Transaction1 on Entertainment,124.0,"Sun, Mar 05, 2023",Entertainment
Transaction2 on Shopping,90.0,"Sun, Mar 05, 2023",Shopping
Transaction3 on Fitness,166.0,"Sun, Mar 05, 2023",Fitness
Transaction4 on Shopping,123.0,"Sun, Mar 05, 2023",Shopping
Transaction5 on Transportation,136.0,"Sun, Mar 05, 2023",Transportation
Transaction6 on Transportation,28.0,"Sun, Mar 05, 2023",Transportation
Transaction7 on Entertainment,139.0,"Sun, Mar 05, 2023",Entertainment
Transaction8 on Transportation,97.0,"Sun, Mar 05, 2023",Transportation
Transaction9 on Entertainment,44.0,"Sun, Mar 05, 2023",Entertainment
Transaction10 on Fitness,93.0,"Sun, Mar 05, 2023",Fitness
Transaction11 on Fitness,104.0,"Sun, Mar 05, 2023",Fitness
Transaction12 on Transportation,48.0,"Sun, Mar 05, 2023",Transportation
Transaction13 on Transportation,22.0,"Sun, Mar 05, 2023",Transportation
Transaction14 on Shopping,126.0,"Sun, Mar 05, 2023",Shopping
Transaction15 on Shopping,154.0,"Sun, Mar 05, 2023",Shopping
Transaction16 on Transportation,122.0,"Sun, Mar 05, 2023",Transportation
Transaction17 on Fitness,143.0,"Sun, Mar 05, 2023",Fitness
Transaction18 on Entertainment,27.0,"Sun, Mar 05, 2023",Entertainment
Transaction19 on Entertainment,80.0,"Sun, Mar 05, 2023",Entertainment
Transaction20 on Entertainment,131.0,"Sun, Mar 05, 2023",Entertainment
Transaction1 on Transportation,142.0,"Mon, Mar 06, 2023",Transportation
Transaction2 on Entertainment,5.0,"Mon, Mar 06, 2023",Entertainment
Transaction3 on Shopping,174.0,"Mon, Mar 06, 2023",Shopping
Transaction4 on Food,191.0,"Mon, Mar 06, 2023",Food
Transaction5 on Shopping,98.0,"Mon, Mar 06, 2023",Shopping
Transaction6 on Transportation,185.0,"Mon, Mar 06, 2023",Transportation
Transaction7 on Fitness,12.0,"Mon, Mar 06, 2023",Fitness
Transaction8 on Transportation,128.0,"Mon, Mar 06, 2023",Transportation
Transaction9 on Entertainment,113.0,"Mon, Mar 06, 2023",Entertainment
Transaction10 on Transportation,125.0,"Mon, Mar 06, 2023",Transportation
Transaction11 on Entertainment,30.0,"Mon, Mar 06, 2023",Entertainment
Transaction12 on Fitness,165.0,"Mon, Mar 06, 2023",Fitness
Transaction13 on Transportation,168.0,"Mon, Mar 06, 2023",Transportation
Transaction14 on Food,37.0,"Mon, Mar 06, 2023",Food
Transaction15 on Food,51.0,"Mon, Mar 06, 2023",Food
Transaction16 on Food,14.0,"Mon, Mar 06, 2023",Food
Transaction17 on Shopping,127.0,"Mon, Mar 06, 2023",Shopping
Transaction18 on Transportation,145.0,"Mon, Mar 06, 2023",Transportation
Transaction19 on Fitness,101.0,"Mon, Mar 06, 2023",Fitness
Transaction20 on Food,129.0,"Mon, Mar 06, 2023",Food
Transaction1 on Shopping,143.0,"Tue, Mar 07, 2023",Shopping
Transaction2 on Fitness,108.0,"Tue, Mar 07, 2023",Fitness
Transaction3 on Entertainment,135.0,"Tue, Mar 07, 2023",Entertainment
Transaction4 on Fitness,89.0,"Tue, Mar 07, 2023",Fitness
Transaction5 on Food,63.0,"Tue, Mar 07, 2023",Food
Transaction6 on Entertainment,42.0,"Tue, Mar 07, 2023",Entertainment
Transaction7 on Entertainment,137.0,"Tue, Mar 07, 2023",Entertainment
Transaction8 on Entertainment,178.0,"Tue, Mar 07, 2023",Entertainment
Transaction9 on Fitness,151.0,"Tue, Mar 07, 2023",Fitness
Transaction10 on Transportation,97.0,"Tue, Mar 07, 2023",Transportation
Transaction11 on Food,192.0,"Tue, Mar 07, 2023",Food
Transaction12 on Transportation,25.0,"Tue, Mar 07, 2023",Transportation
Transaction13 on Entertainment,155.0,"Tue, Mar 07, 2023",Entertainment
Transaction14 on Food,31.0,"Tue, Mar 07, 2023",Food
Transaction15 on Shopping,161.0,"Tue, Mar 07, 2023",Shopping
Transaction16 on Transportation,26.0,"Tue, Mar 07, 2023",Transportation
Transaction17 on Food,145.0,"Tue, Mar 07, 2023",Food
Transaction18 on Shopping,49.0,"Tue, Mar 07, 2023",Shopping
Transaction19 on Entertainment,129.0,"Tue, Mar 07, 2023",Entertainment
Transaction20 on Food,61.0,"Tue, Mar 07, 2023",Food
Transaction1 on Entertainment,158.0,"Wed, Mar 08, 2023",Entertainment
Transaction2 on Food,90.0,"Wed, Mar 08, 2023",Food
Transaction3 on Food,30.0,"Wed, Mar 08, 2023",Food
Transaction4 on Entertainment,175.0,"Wed, Mar 08, 2023",Entertainment
Transaction5 on Fitness,118.0,"Wed, Mar 08, 2023",Fitness
Transaction6 on Transportation,99.0,"Wed, Mar 08, 2023",Transportation
Transaction7 on Food,194.0,"Wed, Mar 08, 2023",Food
Transaction8 on Shopping,18.0,"Wed, Mar 08, 2023",Shopping
Transaction9 on Transportation,46.0,"Wed, Mar 08, 2023",Transportation
Transaction10 on Transportation,54.0,"Wed, Mar 08, 2023",Transportation
Transaction11 on Entertainment,63.0,"Wed, Mar 08, 2023",Entertainment
Transaction12 on Fitness,186.0,"Wed, Mar 08, 2023",Fitness
Transaction13 on Transportation,132.0,"Wed, Mar 08, 2023",Transportation
Transaction14 on Shopping,147.0,"Wed, Mar 08, 2023",Shopping
Transaction15 on Shopping,58.0,"Wed, Mar 08, 2023",Shopping
Transaction16 on Entertainment,28.0,"Wed, Mar 08, 2023",Entertainment
Transaction17 on Transportation,22.0,"Wed, Mar 08, 2023",Transportation
Transaction18 on Transportation,158.0,"Wed, Mar 08, 2023",Transportation
Transaction19 on Entertainment,170.0,"Wed, Mar 08, 2023",Entertainment
Transaction20 on Entertainment,46.0,"Wed, Mar 08, 2023",Entertainment
Transaction1 on Shopping,110.0,"Thu, Mar 09, 2023",Shopping
Transaction2 on Food,128.0,"Thu, Mar 09, 2023",Food
Transaction3 on Shopping,105.0,"Thu, Mar 09, 2023",Shopping
Transaction4 on Transportation,49.0,"Thu, Mar 09, 2023",Transportation
Transaction5 on Fitness,62.0,"Thu, Mar 09, 2023",Fitness
Transaction6 on Transportation,89.0,"Thu, Mar 09, 2023",Transportation
Transaction7 on Food,67.0,"Thu, Mar 09, 2023",Food
Transaction8 on Fitness,120.0,"Thu, Mar 09, 2023",Fitness
Transaction9 on Fitness,113.0,"Thu, Mar 09, 2023",Fitness
Transaction10 on Fitness,94.0,"Thu, Mar 09, 2023",Fitness
Transaction11 on Entertainment,57.0,"Thu, Mar 09, 2023",Entertainment
Transaction12 on Food,49.0,"Thu, Mar 09, 2023",Food
Transaction13 on Fitness,176.0,"Thu, Mar 09, 2023",Fitness
Transaction14 on Shopping,123.0,"Thu, Mar 09, 2023",Shopping
Transaction15 on Entertainment,17.0,"Thu, Mar 09, 2023",Entertainment
Transaction16 on Entertainment,121.0,"Thu, Mar 09, 2023",Entertainment
Transaction17 on Food,16.0,"Thu, Mar 09, 2023",Food
Transaction18 on Shopping,23.0,"Thu, Mar 09, 2023",Shopping
Transaction19 on Entertainment,176.0,"Thu, Mar 09, 2023",Entertainment
Transaction20 on Transportation,14.0,"Thu, Mar 09, 2023",Transportation
Transaction1 on Food,31.0,"Fri, Mar 10, 2023",Food
Transaction2 on Transportation,133.0,"Fri, Mar 10, 2023",Transportation
Transaction3 on Entertainment,29.0,"Fri, Mar 10, 2023",Entertainment
Transaction4 on Shopping,131.0,"Fri, Mar 10, 2023",Shopping
Transaction5 on Food,41.0,"Fri, Mar 10, 2023",Food
Transaction6 on Food,192.0,"Fri, Mar 10, 2023",Food
Transaction7 on Transportation,67.0,"Fri, Mar 10, 2023",Transportation
Transaction8 on Fitness,99.0,"Fri, Mar 10, 2023",Fitness
Transaction9 on Shopping,89.0,"Fri, Mar 10, 2023",Shopping
Transaction10 on Shopping,181.0,"Fri, Mar 10, 2023",Shopping
Transaction11 on Food,120.0,"Fri, Mar 10, 2023",Food
Transaction12 on Entertainment,55.0,"Fri, Mar 10, 2023",Entertainment
Transaction13 on Shopping,141.0,"Fri, Mar 10, 2023",Shopping
Transaction14 on Food,152.0,"Fri, Mar 10, 2023",Food
Transaction15 on Shopping,158.0,"Fri, Mar 10, 2023",Shopping
Transaction16 on Entertainment,76.0,"Fri, Mar 10, 2023",Entertainment
Transaction17 on Transportation,61.0,"Fri, Mar 10, 2023",Transportation
Transaction18 on Fitness,104.0,"Fri, Mar 10, 2023",Fitness
Transaction19 on Transportation,66.0,"Fri, Mar 10, 2023",Transportation
Transaction20 on Entertainment,38.0,"Fri, Mar 10, 2023",Entertainment
Transaction1 on Shopping,89.0,"Sat, Mar 11, 2023",Shopping
Transaction2 on Food,125.0,"Sat, Mar 11, 2023",Food
Transaction3 on Transportation,172.0,"Sat, Mar 11, 2023",Transportation
Transaction4 on Food,178.0,"Sat, Mar 11, 2023",Food
Transaction5 on Fitness,51.0,"Sat, Mar 11, 2023",Fitness
Transaction6 on Shopping,74.0,"Sat, Mar 11, 2023",Shopping
Transaction7 on Entertainment,74.0,"Sat, Mar 11, 2023",Entertainment
Transaction8 on Food,85.0,"Sat, Mar 11, 2023",Food
Transaction9 on Shopping,195.0,"Sat, Mar 11, 2023",Shopping
Transaction10 on Shopping,173.0,"Sat, Mar 11, 2023",Shopping
Transaction11 on Food,13.0,"Sat, Mar 11, 2023",Food
Transaction12 on Transportation,37.0,"Sat, Mar 11, 2023",Transportation
Transaction13 on Food,146.0,"Sat, Mar 11, 2023",Food
Transaction14 on Food,32.0,"Sat, Mar 11, 2023",Food
Transaction15 on Food,49.0,"Sat, Mar 11, 2023",Food
Transaction16 on Shopping,154.0,"Sat, Mar 11, 2023",Shopping
Transaction17 on Fitness,53.0,"Sat, Mar 11, 2023",Fitness
Transaction18 on Shopping,95.0,"Sat, Mar 11, 2023",Shopping
Transaction19 on Shopping,75.0,"Sat, Mar 11, 2023",Shopping
Transaction20 on Food,101.0,"Sat, Mar 11, 2023",Food
Transaction1 on Transportation,42.0,"Sun, Mar 12, 2023",Transportation
Transaction2 on Fitness,60.0,"Sun, Mar 12, 2023",Fitness
Transaction3 on Shopping,32.0,"Sun, Mar 12, 2023",Shopping
Transaction4 on Food,56.0,"Sun, Mar 12, 2023",Food
Transaction5 on Fitness,60.0,"Sun, Mar 12, 2023",Fitness
Transaction6 on Transportation,59.0,"Sun, Mar 12, 2023",Transportation
Transaction7 on Food,190.0,"Sun, Mar 12, 2023",Food
Transaction8 on Food,174.0,"Sun, Mar 12, 2023",Food
Transaction9 on Fitness,137.0,"Sun, Mar 12, 2023",Fitness
Transaction10 on Fitness,36.0,"Sun, Mar 12, 2023",Fitness
Transaction11 on Food,144.0,"Sun, Mar 12, 2023",Food
Transaction12 on Fitness,90.0,"Sun, Mar 12, 2023",Fitness
Transaction13 on Food,193.0,"Sun, Mar 12, 2023",Food
Transaction14 on Fitness,180.0,"Sun, Mar 12, 2023",Fitness
Transaction15 on Fitness,200.0,"Sun, Mar 12, 2023",Fitness
Transaction16 on Shopping,95.0,"Sun, Mar 12, 2023",Shopping
Transaction17 on Shopping,174.0,"Sun, Mar 12, 2023",Shopping
Transaction18 on Fitness,65.0,"Sun, Mar 12, 2023",Fitness
Transaction19 on Shopping,109.0,"Sun, Mar 12, 2023",Shopping
Transaction20 on Fitness,101.0,"Sun, Mar 12, 2023",Fitness
Transaction1 on Fitness,157.0,"Mon, Mar 13, 2023",Fitness
Transaction2 on Fitness,179.0,"Mon, Mar 13, 2023",Fitness
Transaction3 on Food,111.0,"Mon, Mar 13, 2023",Food
Transaction4 on Transportation,32.0,"Mon, Mar 13, 2023",Transportation
Transaction5 on Food,152.0,"Mon, Mar 13, 2023",Food
Transaction6 on Entertainment,33.0,"Mon, Mar 13, 2023",Entertainment
Transaction7 on Food,130.0,"Mon, Mar 13, 2023",Food
Transaction8 on Entertainment,188.0,"Mon, Mar 13, 2023",Entertainment
Transaction9 on Food,26.0,"Mon, Mar 13, 2023",Food
Transaction10 on Entertainment,77.0,"Mon, Mar 13, 2023",Entertainment
Transaction11 on Shopping,84.0,"Mon, Mar 13, 2023",Shopping
Transaction12 on Fitness,48.0,"Mon, Mar 13, 2023",Fitness
Transaction13 on Food,18.0,"Mon, Mar 13, 2023",Food
Transaction14 on Shopping,175.0,"Mon, Mar 13, 2023",Shopping
Transaction15 on Fitness,52.0,"Mon, Mar 13, 2023",Fitness
Transaction16 on Food,86.0,"Mon, Mar 13, 2023",Food
Transaction17 on Shopping,130.0,"Mon, Mar 13, 2023",Shopping
Transaction18 on Entertainment,81.0,"Mon, Mar 13, 2023",Entertainment
Transaction19 on Shopping,21.0,"Mon, Mar 13, 2023",Shopping
Transaction20 on Transportation,60.0,"Mon, Mar 13, 2023",Transportation
Transaction1 on Food,72.0,"Tue, Mar 14, 2023",Food
Transaction2 on Food,180.0,"Tue, Mar 14, 2023",Food
Transaction3 on Shopping,135.0,"Tue, Mar 14, 2023",Shopping
Transaction4 on Entertainment,79.0,"Tue, Mar 14, 2023",Entertainment
Transaction5 on Food,181.0,"Tue, Mar 14, 2023",Food
Transaction6 on Entertainment,132.0,"Tue, Mar 14, 2023",Entertainment
Transaction7 on Food,109.0,"Tue, Mar 14, 2023",Food
Transaction8 on Food,171.0,"Tue, Mar 14, 2023",Food
Transaction9 on Shopping,185.0,"Tue, Mar 14, 2023",Shopping
Transaction10 on Food,63.0,"Tue, Mar 14, 2023",Food
Transaction11 on Entertainment,194.0,"Tue, Mar 14, 2023",Entertainment
Transaction12 on Entertainment,115.0,"Tue, Mar 14, 2023",Entertainment
Transaction13 on Fitness,35.0,"Tue, Mar 14, 2023",Fitness
Transaction14 on Transportation,25.0,"Tue, Mar 14, 2023",Transportation
Transaction15 on Fitness,177.0,"Tue, Mar 14, 2023",Fitness
Transaction16 on Entertainment,199.0,"Tue, Mar 14, 2023",Entertainment
Transaction17 on Shopping,74.0,"Tue, Mar 14, 2023",Shopping
Transaction18 on Entertainment,165.0,"Tue, Mar 14, 2023",Entertainment
Transaction19 on Shopping,185.0,"Tue, Mar 14, 2023",Shopping
Transaction20 on Transportation,153.0,"Tue, Mar 14, 2023",Transportation
Transaction1 on Transportation,22.0,"Wed, Mar 15, 2023",Transportation
Transaction2 on Food,7.0,"Wed, Mar 15, 2023",Food
Transaction3 on Entertainment,146.0,"Wed, Mar 15, 2023",Entertainment
Transaction4 on Fitness,103.0,"Wed, Mar 15, 2023",Fitness
Transaction5 on Transportation,98.0,"Wed, Mar 15, 2023",Transportation
Transaction6 on Food,146.0,"Wed, Mar 15, 2023",Food
Transaction7 on Entertainment,134.0,"Wed, Mar 15, 2023",Entertainment
Transaction8 on Shopping,107.0,"Wed, Mar 15, 2023",Shopping
Transaction9 on Food,64.0,"Wed, Mar 15, 2023",Food
Transaction10 on Food,51.0,"Wed, Mar 15, 2023",Food
Transaction11 on Shopping,21.0,"Wed, Mar 15, 2023",Shopping
Transaction12 on Shopping,87.0,"Wed, Mar 15, 2023",Shopping
Transaction13 on Food,126.0,"Wed, Mar 15, 2023",Food
Transaction14 on Food,190.0,"Wed, Mar 15, 2023",Food
Transaction15 on Entertainment,95.0,"Wed, Mar 15, 2023",Entertainment
Transaction16 on Food,60.0,"Wed, Mar 15, 2023",Food
Transaction17 on Transportation,130.0,"Wed, Mar 15, 2023",Transportation
Transaction18 on Transportation,90.0,"Wed, Mar 15, 2023",Transportation
Transaction19 on Food,10.0,"Wed, Mar 15, 2023",Food
Transaction20 on Transportation,60.0,"Wed, Mar 15, 2023",Transportation
Transaction1 on Transportation,67.0,"Thu, Mar 16, 2023",Transportation
Transaction2 on Shopping,106.0,"Thu, Mar 16, 2023",Shopping
Transaction3 on Food,117.0,"Thu, Mar 16, 2023",Food
Transaction4 on Transportation,167.0,"Thu, Mar 16, 2023",Transportation
Transaction5 on Food,34.0,"Thu, Mar 16, 2023",Food
Transaction6 on Shopping,50.0,"Thu, Mar 16, 2023",Shopping
Transaction7 on Food,80.0,"Thu, Mar 16, 2023",Food
Transaction8 on Food,177.0,"Thu, Mar 16, 2023",Food
Transaction9 on Food,138.0,"Thu, Mar 16, 2023",Food
Transaction10 on Transportation,112.0,"Thu, Mar 16, 2023",Transportation
Transaction11 on Shopping,128.0,"Thu, Mar 16, 2023",Shopping
Transaction12 on Food,145.0,"Thu, Mar 16, 2023",Food
Transaction13 on Fitness,137.0,"Thu, Mar 16, 2023",Fitness
Transaction14 on Fitness,180.0,"Thu, Mar 16, 2023",Fitness
Transaction15 on Transportation,33.0,"Thu, Mar 16, 2023",Transportation
Transaction16 on Entertainment,11.0,"Thu, Mar 16, 2023",Entertainment
Transaction17 on Transportation,186.0,"Thu, Mar 16, 2023",Transportation
Transaction18 on Fitness,165.0,"Thu, Mar 16, 2023",Fitness
Transaction19 on Entertainment,105.0,"Thu, Mar 16, 2023",Entertainment
Transaction20 on Entertainment,5.0,"Thu, Mar 16, 2023",Entertainment
Transaction1 on Entertainment,10.0,"Fri, Mar 17, 2023",Entertainment
Transaction2 on Entertainment,26.0,"Fri, Mar 17, 2023",Entertainment
Transaction3 on Shopping,149.0,"Fri, Mar 17, 2023",Shopping
Transaction4 on Shopping,47.0,"Fri, Mar 17, 2023",Shopping
Transaction5 on Entertainment,188.0,"Fri, Mar 17, 2023",Entertainment
Transaction6 on Fitness,67.0,"Fri, Mar 17, 2023",Fitness
Transaction7 on Shopping,52.0,"Fri, Mar 17, 2023",Shopping
Transaction8 on Food,105.0,"Fri, Mar 17, 2023",Food
Transaction9 on Shopping,122.0,"Fri, Mar 17, 2023",Shopping
Transaction10 on Transportation,45.0,"Fri, Mar 17, 2023",Transportation
Transaction11 on Shopping,111.0,"Fri, Mar 17, 2023",Shopping
Transaction12 on Food,23.0,"Fri, Mar 17, 2023",Food
Transaction13 on Entertainment,49.0,"Fri, Mar 17, 2023",Entertainment
Transaction14 on Shopping,145.0,"Fri, Mar 17, 2023",Shopping
Transaction15 on Transportation,86.0,"Fri, Mar 17, 2023",Transportation
Transaction16 on Shopping,104.0,"Fri, Mar 17, 2023",Shopping
Transaction17 on Fitness,119.0,"Fri, Mar 17, 2023",Fitness
Transaction18 on Transportation,70.0,"Fri, Mar 17, 2023",Transportation
Transaction19 on Fitness,176.0,"Fri, Mar 17, 2023",Fitness
Transaction20 on Entertainment,67.0,"Fri, Mar 17, 2023",Entertainment
Transaction1 on Shopping,100.0,"Sat, Mar 18, 2023",Shopping
Transaction2 on Shopping,171.0,"Sat, Mar 18, 2023",Shopping
Transaction3 on Entertainment,49.0,"Sat, Mar 18, 2023",Entertainment
Transaction4 on Shopping,111.0,"Sat, Mar 18, 2023",Shopping
Transaction5 on Fitness,79.0,"Sat, Mar 18, 2023",Fitness
Transaction6 on Fitness,152.0,"Sat, Mar 18, 2023",Fitness
Transaction7 on Food,123.0,"Sat, Mar 18, 2023",Food
Transaction8 on Food,95.0,"Sat, Mar 18, 2023",Food
Transaction9 on Transportation,51.0,"Sat, Mar 18, 2023",Transportation
Transaction10 on Transportation,42.0,"Sat, Mar 18, 2023",Transportation
Transaction11 on Food,189.0,"Sat, Mar 18, 2023",Food
Transaction12 on Transportation,190.0,"Sat, Mar 18, 2023",Transportation
Transaction13 on Entertainment,153.0,"Sat, Mar 18, 2023",Entertainment
Transaction14 on Transportation,36.0,"Sat, Mar 18, 2023",Transportation
Transaction15 on Entertainment,94.0,"Sat, Mar 18, 2023",Entertainment
Transaction16 on Shopping,157.0,"Sat, Mar 18, 2023",Shopping
Transaction17 on Fitness,196.0,"Sat, Mar 18, 2023",Fitness
Transaction18 on Fitness,163.0,"Sat, Mar 18, 2023",Fitness
Transaction19 on Shopping,179.0,"Sat, Mar 18, 2023",Shopping
Transaction20 on Transportation,23.0,"Sat, Mar 18, 2023",Transportation
Transaction1 on Transportation,80.0,"Sun, Mar 19, 2023",Transportation
Transaction2 on Entertainment,44.0,"Sun, Mar 19, 2023",Entertainment
Transaction3 on Entertainment,160.0,"Sun, Mar 19, 2023",Entertainment
Transaction4 on Shopping,198.0,"Sun, Mar 19, 2023",Shopping
Transaction5 on Transportation,177.0,"Sun, Mar 19, 2023",Transportation
Transaction6 on Shopping,56.0,"Sun, Mar 19, 2023",Shopping
Transaction7 on Fitness,15.0,"Sun, Mar 19, 2023",Fitness
Transaction8 on Food,31.0,"Sun, Mar 19, 2023",Food
Transaction9 on Transportation,124.0,"Sun, Mar 19, 2023",Transportation
Transaction10 on Transportation,72.0,"Sun, Mar 19, 2023",Transportation
Transaction11 on Entertainment,26.0,"Sun, Mar 19, 2023",Entertainment
Transaction12 on Fitness,177.0,"Sun, Mar 19, 2023",Fitness
Transaction13 on Entertainment,104.0,"Sun, Mar 19, 2023",Entertainment
Transaction14 on Entertainment,80.0,"Sun, Mar 19, 2023",Entertainment
Transaction15 on Shopping,58.0,"Sun, Mar 19, 2023",Shopping
Transaction16 on Shopping,180.0,"Sun, Mar 19, 2023",Shopping
Transaction17 on Shopping,80.0,"Sun, Mar 19, 2023",Shopping
Transaction18 on Transportation,32.0,"Sun, Mar 19, 2023",Transportation
Transaction19 on Shopping,174.0,"Sun, Mar 19, 2023",Shopping
Transaction20 on Transportation,61.0,"Sun, Mar 19, 2023",Transportation
Transaction1 on Shopping,102.0,"Mon, Mar 20, 2023",Shopping
Transaction2 on Transportation,12.0,"Mon, Mar 20, 2023",Transportation
Transaction3 on Shopping,73.0,"Mon, Mar 20, 2023",Shopping
Transaction4 on Entertainment,192.0,"Mon, Mar 20, 2023",Entertainment
Transaction5 on Transportation,127.0,"Mon, Mar 20, 2023",Transportation
Transaction6 on Shopping,111.0,"Mon, Mar 20, 2023",Shopping
Transaction7 on Food,63.0,"Mon, Mar 20, 2023",Food
Transaction8 on Shopping,100.0,"Mon, Mar 20, 2023",Shopping
Transaction9 on Food,143.0,"Mon, Mar 20, 2023",Food
Transaction10 on Fitness,91.0,"Mon, Mar 20, 2023",Fitness
Transaction11 on Transportation,81.0,"Mon, Mar 20, 2023",Transportation
Transaction12 on Fitness,68.0,"Mon, Mar 20, 2023",Fitness
Transaction13 on Food,153.0,"Mon, Mar 20, 2023",Food
Transaction14 on Transportation,42.0,"Mon, Mar 20, 2023",Transportation
